dataset,dim,epochs,lr,val_acc,test_acc,f1_macro,auc_macro,total_time_s,fit_time_s,embed_time_s,rss_before_mb,rss_after_mb,peak_tracemalloc_mb
ENZYMES,128,40,0.001,0.5081967213114754,0.45,0.456404388898668,0.7343333333333334,7.579097747802734,7.366817951202393,0.2122797966003418,1437.90234375,1438.4140625,0.4824380874633789
IMDB-MULTI,128,100,0.001,0.5266666666666666,0.4866666666666667,0.444724366304555,0.6368999999999999,55.62467193603515,55.07375526428223,0.5509166717529297,1454.66796875,1454.66796875,0.9709558486938475
MUTAG,128,40,0.0005,1.0,0.8421052631578947,0.8080808080808081,0.6538461538461539,2.86584734916687,2.770381450653076,0.0954658985137939,1430.9375,1430.96484375,0.2246856689453125
