dataset,dim,epochs,lr,dropout,fit_time_s,embed_time_s,total_time_s,val_acc,test_acc,val_f1_macro,test_f1_macro,val_auc_macro,test_auc_macro,peak_tracemalloc_mb,rss_before_mb,rss_after_mb,n_graphs,fit_embed_ratio,embed_percentage
ENZYMES,128,100,0.0005,0.0,19.300732612609863,0.231600284576416,19.53233289718628,0.5573770491803278,0.45,0.5539723135631064,0.4516242907419378,0.7827688651218062,0.7159999999999999,0.5078611373901367,1438.41796875,1438.41796875,,83.33639420137081,1.185727715145481
IMDB-MULTI,128,100,0.0005,0.0,54.87731218338013,0.5206022262573242,55.39791440963745,0.54,0.48,0.5214213443917176,0.4505911831493227,0.6806333333333333,0.6408666666666667,0.9698762893676758,1454.66796875,1454.66796875,,105.41121304436234,0.9397505877346825
MUTAG,128,40,0.0005,0.0,2.770381450653076,0.0954658985137939,2.86584734916687,1.0,0.8421052631578947,1.0,0.8080808080808081,1.0,0.6538461538461539,0.2246856689453125,1430.9375,1430.96484375,,29.019592270980226,3.33115783510056
