dataset,dim,epochs,lr,dropout,it_time_s,embed_time_s,total_time_s,train_acc,val_acc,test_acc,train_f1_macro,val_f1_macro,test_f1_macro,train_auc_macro,val_auc_macro,test_auc_macro,peak_tracemalloc_mb,rss_before_mb,rss_after_mb
MUTAG,64,200,0.001,0.0,6.759248733520508,0.027094364166259766,6.786343097686768,0.76,0.7894736842105263,0.6842105263157895,0.657707910750507,0.6833333333333333,0.40625,0.9574173103584869,0.7307692307692307,0.7435897435897435,1.0781936645507812,824.01171875,1677.26171875
MUTAG,64,200,0.001,0.4,4.865418195724487,0.02717423439025879,4.892592430114746,0.7133333333333334,0.7894736842105263,0.7368421052631579,0.5463816020817216,0.6833333333333333,0.5622119815668203,0.906318082788671,0.6666666666666667,0.8076923076923077,0.9607057571411133,1677.88671875,1690.38671875
MUTAG,64,200,0.0005,0.0,5.349963426589966,0.0266115665435791,5.376574993133545,0.7466666666666667,0.8421052631578947,0.6842105263157895,0.7375207220482594,0.8246153846153846,0.6346153846153846,0.844127550009903,0.8461538461538461,0.4871794871794872,0.9571428298950195,1690.51171875,1690.76171875
MUTAG,64,200,0.0005,0.4,3.44449782371521,0.03499603271484375,3.4794938564300537,0.7066666666666667,0.7368421052631579,0.6842105263157895,0.5416666666666666,0.5622119815668203,0.40625,0.8999801940978411,0.6153846153846154,0.9230769230769231,0.9227132797241211,1690.76171875,1690.88671875
MUTAG,64,500,0.001,0.0,6.396545648574829,0.0279538631439209,6.42449951171875,0.7733333333333333,0.8421052631578947,0.7368421052631579,0.7228863290589003,0.8080808080808081,0.6360153256704981,0.8999801940978411,0.8846153846153847,0.6666666666666666,0.9582672119140625,1690.88671875,1691.13671875
MUTAG,64,500,0.001,0.4,3.9308669567108154,0.0269622802734375,3.957829236984253,0.7466666666666667,0.7894736842105263,0.7368421052631579,0.6459627329192547,0.6833333333333333,0.5622119815668203,0.9027530204000792,0.7948717948717949,0.8717948717948718,0.9911861419677734,1691.13671875,1691.13671875
MUTAG,64,500,0.0005,0.0,4.110901355743408,0.026625633239746094,4.137526988983154,0.7466666666666667,0.8421052631578947,0.6842105263157895,0.6591724467830662,0.7816091954022988,0.525,0.8849277084571202,0.8846153846153847,0.7435897435897437,0.9194364547729492,1691.13671875,1691.13671875
MUTAG,64,500,0.0005,0.4,4.469108581542969,0.027039051055908203,4.496147632598877,0.7533333333333333,0.7894736842105263,0.7368421052631579,0.6586505935174365,0.6833333333333333,0.5622119815668203,0.8712616359675183,0.717948717948718,0.8974358974358975,0.9913463592529297,1691.13671875,1691.13671875
MUTAG,128,200,0.001,0.0,3.761018991470337,0.026862382888793945,3.787881374359131,0.7133333333333334,0.8421052631578947,0.7894736842105263,0.6901868485518037,0.8246153846153846,0.7285714285714285,0.7866904337492573,0.7820512820512822,0.6153846153846154,1.0824651718139648,1691.13671875,1697.51171875
MUTAG,128,200,0.001,0.4,4.489396095275879,0.027370214462280273,4.516766309738159,0.7266666666666667,0.7894736842105263,0.7368421052631579,0.588105284307816,0.6833333333333333,0.5622119815668203,0.9152307387601505,0.8076923076923077,0.9102564102564102,1.19732666015625,1697.51171875,1706.26171875
