dataset,dime5555670857429504,1500,128,-0.007533731486846025,0.0011725139084895456
IMDB-MULTI,dim128,spectral,2,0.5899829268455505,1500,128,-0.0006664458509413881,0.0008423601860349327
IMDB-MULTI,dim256,kmeans,2,0.5871519446372986,1500,256,-0.006932462725038449,0.0009392966483780177
IMDB-MULTI,dim256,spectral,2,0.5667890906333923,1500,256,-0.0006664458509413881,0.0008423601860349327nsion,algorithm,n_clusters,silhouette_score,n_samples,embedding_dim,ari,nmi
MUTAG,dim64,kmeans,2,0.20985563099384308,188,64,-0.008246344333526924,0.0002868624819819641
MUTAG,dim64,spectral,2,0.40923890471458435,188,64,-0.015036909081951265,0.018281739405036825
MUTAG,dim128,kmeans,2,0.22149865329265594,188,128,-0.008019907724881462,0.0002794469303910424
MUTAG,dim128,spectral,2,0.42406854033470154,188,128,-0.015036909081951265,0.018281739405036825
MUTAG,dim256,kmeans,2,0.21650633215904236,188,256,-0.015404668953635172,0.003646959549644907
MUTAG,dim256,spectral,2,0.4530530869960785,188,256,-0.010275158003457574,0.012547367846572252
ENZYMES,dim64,kmeans,6,0.156596839427948,600,64,0.004350914779189601,0.025346570334931567
ENZYMES,dim64,spectral,6,0.41254928708076477,600,64,9.142468311795467e-05,0.023064762193996318
ENZYMES,dim128,kmeans,6,0.1972363442182541,600,128,0.009257797483450257,0.03012484113529286
ENZYMES,dim128,spectral,6,0.7197000980377197,600,128,0.0,0.0033182862471173233
ENZYMES,dim256,kmeans,6,0.24942538142204285,600,256,0.0035325272161431487,0.024438183142994115
ENZYMES,dim256,spectral,6,0.662499189376831,600,256,7.874723410183622e-05,0.013115439608859207
IMDB-MULTI,dim64,kmeans,2,0.5293805599212646,1500,64,-0.007368013226294053,0.0010600149762308691
IMDB-MULTI,dim64,spectral,2,0.6983098983764648,1500,64,-0.0006664458509413881,0.0008423601860349327
IMDB-MULTI,dim128,kmeans,2,0.
