dataset,method,run_name,split,dim,n_graphs,n_clusters,cluster_alg,nmi,ari,acc,silhouette
ENZYMES,GIN,gin_dim128_ep800_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,kmeans,0.056634,0.007279,0.216667,0.397703
ENZYMES,GIN,gin_dim128_ep800_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,kmeans,0.055693,0.008775,0.225,0.294683
ENZYMES,GIN,gin_dim128_ep800_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,kmeans,0.054209,0.013793,0.231667,0.262605
ENZYMES,GIN,gin_dim128_ep800_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,kmeans,0.048753,0.001615,0.176667,0.944562
ENZYMES,GIN,gin_dim128_ep300_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,spectral,0.070069,0.020396,0.271667,0.051194
ENZYMES,GIN,gin_dim128_ep300_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,spectral,0.087669,0.014377,0.288333,0.050308
ENZYMES,GIN,gin_dim128_ep300_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,spectral,0.072918,0.026327,0.285,0.080228
ENZYMES,GIN,gin_dim128_ep300_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,spectral,0.078292,0.019406,0.278333,0.133112
ENZYMES,GIN,gin_dim128_ep800_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,spectral,0.074944,0.017913,0.271667,0.037503
ENZYMES,GIN,gin_dim128_ep800_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,spectral,0.065153,0.020997,0.278333,0.156083
ENZYMES,GIN,gin_dim128_ep800_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,spectral,0.071104,0.020532,0.273333,0.137969
ENZYMES,GIN,gin_dim128_ep800_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,spectral,0.112387,0.033999,0.285,0.032466
ENZYMES,GIN,gin_dim256_ep300_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,kmeans,0.050357,0.004092,0.213333,0.337762
ENZYMES,GIN,gin_dim256_ep300_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,kmeans,0.057014,0.002326,0.18,0.92626
ENZYMES,GIN,gin_dim256_ep300_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,kmeans,0.059068,0.002349,0.181667,0.874947
ENZYMES,GIN,gin_dim256_ep300_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,kmeans,0.05321,0.002014,0.185,0.857169
ENZYMES,GIN,gin_dim256_ep800_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,kmeans,0.069162,0.011445,0.228333,0.418243
ENZYMES,GIN,gin_dim256_ep800_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,kmeans,0.052176,0.001813,0.181667,0.931194
ENZYMES,GIN,gin_dim256_ep800_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,kmeans,0.060312,0.002382,0.18,0.94709
ENZYMES,GIN,gin_dim256_ep800_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,kmeans,0.058432,0.002399,0.181667,0.915301
ENZYMES,GIN,gin_dim256_ep300_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,spectral,0.076538,0.019053,0.28,0.03685
ENZYMES,GIN,gin_dim256_ep300_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,spectral,0.097144,0.030259,0.305,0.058192
ENZYMES,GIN,gin_dim256_ep300_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,spectral,0.121225,0.023238,0.301667,0.019524
ENZYMES,GIN,gin_dim256_ep300_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,spectral,0.220555,0.128252,0.365,0.075505
ENZYMES,GIN,gin_dim256_ep800_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,spectral,0.079985,0.021941,0.258333,0.051859
ENZYMES,GIN,gin_dim256_ep800_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,spectral,0.109968,0.031031,0.303333,0.037145
ENZYMES,GIN,gin_dim256_ep800_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,spectral,0.079682,0.023878,0.276667,-0.027368
ENZYMES,GIN,gin_dim256_ep800_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,spectral,0.102993,0.03176,0.285,0.005823
ENZYMES,Graph2Vec,,,64,600,6,kmeans,0.026832,0.005813,0.223333,0.205056
ENZYMES,Graph2Vec,,,64,600,6,spectral,0.025006,0.003202,0.208333,0.125798
ENZYMES,Graph2Vec,,,128,600,6,kmeans,0.02958,0.009683,0.22,0.28322
ENZYMES,Graph2Vec,,,128,600,6,spectral,0.019987,0.0048,0.213333,0.157133
ENZYMES,Graph2Vec,,,256,600,6,kmeans,0.024098,0.003223,0.213333,0.354056
ENZYMES,Graph2Vec,,,256,600,6,spectral,0.020692,0.004667,0.22,0.210133
ENZYMES,NetLSD,,,64,600,6,kmeans,0.043027,0.015893,0.241667,0.536937
ENZYMES,NetLSD,,,64,600,6,spectral,0.038138,0.013522,0.25,0.167813
ENZYMES,NetLSD,,,128,600,6,kmeans,0.043027,0.015893,0.241667,0.536937
ENZYMES,NetLSD,,,128,600,6,spectral,0.038138,0.013522,0.25,0.167813
ENZYMES,NetLSD,,,256,600,6,kmeans,0.043027,0.015893,0.241667,0.536937
ENZYMES,NetLSD,,,256,600,6,spectral,0.038138,0.013522,0.25,0.167813
IMDB-MULTI,GIN,gin_dim64_ep200_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,192,1500,3,kmeans,0.023755,0.000744,0.348667,0.914155
IMDB-MULTI,GIN,gin_dim64_ep200_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,192,1500,3,kmeans,0.024229,0.000775,0.349333,0.923153
IMDB-MULTI,GIN,gin_dim64_ep200_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,192,1500,3,kmeans,0.023755,0.000744,0.348667,0.92701
IMDB-MULTI,GIN,gin_dim64_ep200_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,192,1500,3,kmeans,0.026684,0.000891,0.351333,0.934213
