dataset,dim,epochs,lr,dropout,it_time_s,embed_time_s,total_time_s,val_acc,test_acc,val_f1_macro,test_f1_macro,val_auc_macro,test_auc_macro,peak_tracemalloc_mb,rss_before_mb,rss_after_mb
MUTAG,64,40,0.001,0.0,3.755356550216675,0.10118317604064941,3.856539726257324,1.0,0.8421052631578947,1.0,0.8080808080808081,1.0,0.8846153846153847,0.24665164947509766,958.65625,1416.53125
MUTAG,64,40,0.001,0.3,2.912338972091675,0.10005450248718262,3.0123934745788574,0.9473684210526315,0.8421052631578947,0.9415384615384615,0.8080808080808081,1.0,0.9743589743589745,0.2243051528930664,1416.7421875,1429.1171875
MUTAG,64,40,0.0005,0.0,2.836857557296753,0.10813140869140625,2.944988965988159,0.8947368421052632,0.7368421052631579,0.8642857142857143,0.6360153256704981,0.9743589743589745,0.9230769230769231,0.22662734985351562,1429.13671875,1429.203125
MUTAG,64,40,0.0005,0.3,2.8061113357543945,0.09819412231445312,2.9043054580688477,0.7894736842105263,0.8421052631578947,0.7738095238095238,0.8246153846153846,0.8974358974358975,0.9487179487179488,0.2246112823486328,1429.23828125,1429.29296875
MUTAG,64,100,0.001,0.0,6.787678956985474,0.09425020217895508,6.881929159164429,1.0,0.8421052631578947,1.0,0.8246153846153846,1.0,0.9230769230769231,0.23368263244628906,1429.3125,1429.3828125
MUTAG,64,100,0.001,0.3,6.9785614013671875,0.09576416015625,7.0743255615234375,1.0,0.8421052631578947,1.0,0.8246153846153846,1.0,0.9358974358974359,0.23125362396240234,1429.39453125,1429.44140625
MUTAG,64,100,0.0005,0.0,7.0688042640686035,0.10621166229248047,7.175015926361084,1.0,0.8421052631578947,1.0,0.8080808080808081,1.0,0.8717948717948718,0.2309894561767578,1429.4453125,1429.45703125
MUTAG,64,100,0.0005,0.3,7.290810823440552,0.10015082359313965,7.390961647033691,1.0,0.8421052631578947,1.0,0.8246153846153846,1.0,0.9230769230769231,0.2327108383178711,1429.45703125,1429.46484375
MUTAG,128,40,0.001,0.0,2.9066710472106934,0.1006314754486084,3.0073025226593018,1.0,0.7894736842105263,1.0,0.7285714285714285,1.0,0.8717948717948718,0.22115230560302734,1429.9140625,1430.875
MUTAG,128,40,0.001,0.3,2.8984179496765137,0.10086989402770996,2.9992878437042236,0.9473684210526315,0.8421052631578947,0.9415384615384615,0.8080808080808081,0.9871794871794872,0.9230769230769231,0.2243976593017578,1430.8828125,1430.92578125
MUTAG,128,40,0.0005,0.0,2.770381450653076,0.09546589851379395,2.86584734916687,1.0,0.8421052631578947,1.0,0.8080808080808081,1.0,0.6538461538461539,0.2246856689453125,1430.9375,1430.96484375
MUTAG,128,40,0.0005,0.3,2.862694501876831,0.10132336616516113,2.964017868041992,0.8947368421052632,0.8421052631578947,0.8869047619047619,0.8246153846153846,1.0,0.9102564102564102,0.22695541381835938,1430.96875,1431.0
MUTAG,128,100,0.001,0.0,7.094903469085693,0.10145854949951172,7.196362018585205,1.0,0.8421052631578947,1.0,0.8080808080808081,1.0,0.8461538461538461,0.2845468521118164,1431.00390625,1431.03515625
MUTAG,128,100,0.001,0.3,6.944472074508667,0.0960988998413086,7.040570974349976,1.0,0.8421052631578947,1.0,0.8246153846153846,1.0,0.9487179487179488,0.2815380096435547,1431.03515625,1431.0546875
MUTAG,128,100,0.0005,0.0,6.844217300415039,0.09572243690490723,6.939939737319946,0.8947368421052632,0.7894736842105263,0.8869047619047619,0.7564102564102564,1.0,0.8461538461538463,0.28101253509521484,1431.05859375,1431.09765625
MUTAG,128,100,0.0005,0.3,7.104895830154419,0.10893988609313965,7.213835716247559,1.0,0.8421052631578947,1.0,0.8080808080808081,1.0,0.9487179487179488,0.2823772430419922,1431.1015625,1431.11328125
MUTAG,256,40,0.001,0.0,2.866128921508789,0.09953188896179199,2.965660810470581,1.0,0.7894736842105263,1.0,0.7285714285714285,1.0,0.6282051282051282,0.3186187744140625,1432.875,1436.46875
MUTAG,256,40,0.001,0.3,2.8473355770111084,0.10307669639587402,2.9504122734069824,0.9473684210526315,0.7894736842105263,0.936026936026936,0.7285714285714285,0.9871794871794872,0.9102564102564102,0.3155679702758789,1436.46875,1435.421875
MUTAG,256,40,0.0005,0.0,2.834317207336426,0.10110259056091309,2.935419797897339,0.8947368421052632,0.7368421052631579,0.8869047619047619,0.7076923076923077,0.9487179487179488,0.8717948717948718,0.31361961364746094,1435.671875,1435.69921875
MUTAG,256,40,0.0005,0.3,2.8233754634857178,0.10554671287536621,2.928922176361084,0.9473684210526315,0.8421052631578947,0.9415384615384615,0.8080808080808081,0.9871794871794872,0.935897435897436,0.31316280364990234,1435.69921875,1435.46484375
MUTAG,256,100,0.001,0.0,7.0855488777160645,0.0959923267364502,7.181541204452515,1.0,0.8421052631578947,1.0,0.8246153846153846,1.0,0.9358974358974359,0.37026119232177734,1435.46484375,1435.48828125
MUTAG,256,100,0.001,0.3,7.114193439483643,0.10086607933044434,7.215059518814087,0.9473684210526315,0.7894736842105263,0.9415384615384615,0.7564102564102564,0.9743589743589745,0.9230769230769231,0.37096595764160156,1435.48828125,1435.25390625
MUTAG,256,100,0.0005,0.0,7.120024681091309,0.09868502616882324,7.218709707260132,0.9473684210526315,0.8421052631578947,0.936026936026936,0.8080808080808081,0.9743589743589745,0.9230769230769231,0.37149715423583984,1435.50390625,1435.26953125
MUTAG,256,100,0.0005,0.3,7.085330009460449,0.09376835823059082,7.17909836769104,0.9473684210526315,0.8421052631578947,0.936026936026936,0.8080808080808081,0.9358974358974359,0.9615384615384617,0.37177181243896484,1435.26953125,1435.52734375
