method,dataset,dim,n_graphs,cos_mean,cos_median,cos_std,l2_mean,l2_median,l2_std
Graph2Vec,MUTAG,64,188,0.8988324999809265,0.9012008309364319,0.018179409205913544,0.13307321071624756,0.12673139572143555,0.052332762628793716
NetLSD,MUTAG,64,188,-0.8183485865592957,-0.9689154624938965,0.36578118801116943,52.338348388671875,51.42642593383789,30.16246223449707
Graph2Vec,MUTAG,128,188,0.9095970988273621,0.9140197038650513,0.022539230063557625,0.09493149071931839,0.08875589072704315,0.038752537220716476
NetLSD,MUTAG,128,188,-0.8183485865592957,-0.9689154624938965,0.36578118801116943,52.338348388671875,51.42642593383789,30.16246223449707
Graph2Vec,MUTAG,256,188,0.8989008069038391,0.9048742651939392,0.026590019464492798,0.06832520663738251,0.06353752315044403,0.02685476280748844
NetLSD,MUTAG,256,188,0.8750439882278442,0.8737477660179138,0.029162950813770294,216.25607299804688,220.43609619140625,58.736026763916016
Graph2Vec,ENZYMES,64,600,0.8247789740562439,0.8284125328063965,0.028973259031772614,0.6028557419776917,0.5893593430519104,0.13839328289031982
NetLSD,ENZYMES,64,600,0.9419916868209839,0.993809163570404,0.1693609207868576,26.823436737060547,21.920867919921875,30.575275421142578
Graph2Vec,ENZYMES,128,600,0.8630954027175903,0.8655120134353638,0.021634820848703384,0.5445367097854614,0.5319789052009583,0.12407348304986954
NetLSD,ENZYMES,128,600,0.9419918060302734,0.9938092231750488,0.1693609207868576,26.823461532592773,21.920917510986328,30.575315475463867
Graph2Vec,ENZYMES,256,600,0.8956369757652283,0.8973850011825562,0.020003702491521835,0.4871896803379059,0.4700753688812256,0.11658380925655365
NetLSD,ENZYMES,256,600,0.9639642238616943,0.9650124311447144,0.013368132524192333,104.47396850585938,94.70997619628906,66.39252471923828
Graph2Vec,IMDB-MULTI,64,1500,0.7187410593032837,0.7396783828735352,0.061581049114465714,0.6717644929885864,0.5698040723800659,0.3247971832752228
NetLSD,IMDB-MULTI,64,1500,0.6577070951461792,0.9645963907241821,0.565683901309967,58.8264274597168,49.03667449951172,61.58307647705078
Graph2Vec,IMDB-MULTI,128,1500,0.6958183646202087,0.7097418308258057,0.04596644267439842,0.6803181171417236,0.5780693292617798,0.3172081708908081
NetLSD,IMDB-MULTI,128,1500,0.6577070951461792,0.9645963907241821,0.565683901309967,58.8264274597168,49.03667449951172,61.58307647705078
Graph2Vec,IMDB-MULTI,256,1500,0.6605061292648315,0.6671054363250732,0.024825887754559517,0.690994381904602,0.5843781232833862,0.3225437104701996
NetLSD,IMDB-MULTI,256,1500,0.962329089641571,0.969010055065155,0.02663508430123329,126.72653198242188,96.93614196777344,83.89722442626953
