dataset,run_name,split,n_graphs,cos_mean,cos_median,cos_std,l2_mean,l2_median,l2_std
MUTAG,gin_dim128_ep200_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,test,19,0.8075827956199646,0.8061425685882568,0.03601805865764618,493.46746826171875,509.643310546875,170.21531677246094
MUTAG,gin_dim128_ep200_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,test,19,0.7671011686325073,0.7712752223014832,0.031567808240652084,279.54180908203125,275.3435363769531,93.58040618896484
MUTAG,gin_dim128_ep200_lr0.001_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,test,19,0.8621004223823547,0.8723950386047363,0.03199019655585289,454.2613525390625,451.4698791503906,197.10658264160156
MUTAG,gin_dim128_ep200_lr0.001_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,test,19,0.7807561755180359,0.7891896963119507,0.030121421441435814,263.03607177734375,263.68994140625,76.72076416015625
MUTAG,gin_dim128_ep500_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,test,19,0.8455988168716431,0.8531644940376282,0.0388028547167778,689.2507934570312,422.3956298828125,959.9424438476562
MUTAG,gin_dim128_ep500_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,test,19,0.7342371940612793,0.7438539266586304,0.03606071323156357,300.0987854003906,284.0856018066406,99.00891876220703
MUTAG,gin_dim128_ep500_lr0.001_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,test,19,0.8474929332733154,0.8495142459869385,0.028582869097590446,364.5779113769531,360.7970275878906,132.9021759033203
MUTAG,gin_dim128_ep500_lr0.001_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,test,19,0.8190813064575195,0.8195408582687378,0.03095150738954544,312.0307312011719,269.44073486328125,151.99496459960938
MUTAG,gin_dim256_ep200_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,test,19,0.8343799710273743,0.8377766609191895,0.03678955137729645,681.74462890625,648.3214721679688,305.2167053222656
MUTAG,gin_dim256_ep200_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,test,19,0.7523744702339172,0.75815349817276,0.027562273666262627,455.1024475097656,443.4464111328125,166.57029724121094
MUTAG,gin_dim256_ep200_lr0.001_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,test,19,0.8401325345039368,0.8371303081512451,0.0308071319013834,574.1458740234375,489.5971984863281,319.86883544921875
MUTAG,gin_dim256_ep200_lr0.001_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,test,19,0.8223851323127747,0.8295938968658447,0.03160877898335457,531.3125610351562,404.8336486816406,320.0048522949219
MUTAG,gin_dim256_ep500_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,test,19,0.865480899810791,0.8705436587333679,0.030033517628908157,657.2423706054688,681.169189453125,260.5042724609375
MUTAG,gin_dim256_ep500_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,test,19,0.7930971384048462,0.7977682948112488,0.03263143077492714,605.218505859375,508.1583251953125,339.7278137207031
MUTAG,gin_dim256_ep500_lr0.001_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,test,19,0.8686079978942871,0.867590606212616,0.032381873577833176,782.9043579101562,678.6483154296875,381.33087158203125
MUTAG,gin_dim256_ep500_lr0.001_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,test,19,0.809739351272583,0.8154635429382324,0.034922484308481216,679.2451171875,556.3616943359375,410.0911560058594
MUTAG,gin_dim64_ep200_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,test,19,0.8503583669662476,0.8543444275856018,0.032456859946250916,251.4759979248047,246.03404235839844,83.18436431884766
MUTAG,gin_dim64_ep200_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,test,19,0.7089511752128601,0.713792085647583,0.03861307352781296,174.06585693359375,174.1044158935547,58.02169418334961
