dataset,dim,epochs,lr,dropout,it_time_s,embed_time_s,total_time_s,train_acc,val_acc,test_acc,train_f1_macro,val_f1_macro,test_f1_macro,train_auc_macro,val_auc_macro,test_auc_macro,peak_tracemalloc_mb,rss_before_mb,rss_after_mb
MUTAG,64,50,0.001,0.0,3.0935866832733154,0.02745819091796875,3.121044874191284,0.72,0.7894736842105263,0.7368421052631579,0.600659229208925,0.6833333333333333,0.5622119815668203,0.8888888888888887,0.8076923076923077,0.782051282051282,0.8831052780151367,721.2734375,1378.1484375
MUTAG,64,50,0.001,0.3,2.750199794769287,0.026604175567626953,2.776803970336914,0.72,0.7894736842105263,0.7368421052631579,0.573055028462998,0.6833333333333333,0.5622119815668203,0.8847296494355319,0.6923076923076923,0.9230769230769231,0.5625858306884766,1378.3984375,1388.3984375
MUTAG,64,50,0.0005,0.0,2.582592248916626,0.028447628021240234,2.611039876937866,0.84,0.7894736842105263,0.7894736842105263,0.8118729096989966,0.7285714285714285,0.7285714285714285,0.9290948702713409,0.7435897435897436,0.6025641025641026,0.5632896423339844,1388.3984375,1388.7734375
MUTAG,64,50,0.0005,0.3,2.621962070465088,0.025368690490722656,2.6473307609558105,0.78,0.7368421052631579,0.8421052631578947,0.753719090502015,0.6360153256704981,0.8080808080808081,0.877005347593583,0.7692307692307693,0.8076923076923077,0.5866794586181641,1388.8984375,1388.8984375
MUTAG,64,200,0.001,0.0,3.5690956115722656,0.025054931640625,3.5941505432128906,0.7733333333333333,0.7894736842105263,0.5789473684210527,0.7519937755300525,0.7564102564102564,0.5128205128205128,0.8488809665280255,0.8076923076923077,0.6666666666666666,0.5549955368041992,1388.8984375,1389.2734375
MUTAG,64,200,0.001,0.3,3.3682572841644287,0.024431705474853516,3.3926889896392822,0.74,0.7894736842105263,0.7894736842105263,0.6252642367561334,0.6833333333333333,0.6833333333333333,0.8974054268171915,0.6282051282051282,0.8205128205128206,0.5514249801635742,1389.2734375,1389.3984375
MUTAG,64,200,0.0005,0.0,4.279831171035767,0.02420330047607422,4.304034471511841,0.7466666666666667,0.8421052631578947,0.7368421052631579,0.7203689167974883,0.8080808080808081,0.6801346801346801,0.8146167557932263,0.6923076923076925,0.5769230769230769,0.5880756378173828,1389.3984375,1389.5234375
MUTAG,64,200,0.0005,0.3,3.153233051300049,0.024151086807250977,3.1773841381073,0.7666666666666667,0.7894736842105263,0.7368421052631579,0.6942519364044027,0.6833333333333333,0.5622119815668203,0.8445236680530798,0.6538461538461539,0.9230769230769231,0.5561437606811523,1389.6484375,1389.7734375
MUTAG,128,50,0.001,0.0,2.50779128074646,0.02570652961730957,2.5334978103637695,0.7333333333333333,0.8421052631578947,0.7368421052631579,0.6739839165398827,0.8080808080808081,0.6360153256704981,0.8383838383838385,0.858974358974359,0.7948717948717949,0.7573003768920898,1389.7734375,1405.2734375
MUTAG,128,50,0.001,0.3,2.539837121963501,0.024108409881591797,2.5639455318450928,0.7066666666666667,0.7894736842105263,0.6842105263157895,0.5297805642633229,0.6833333333333333,0.40625,0.8904733610615965,0.7179487179487181,0.9358974358974359,0.7570037841796875,1405.2734375,1405.8984375
