dataset,method,run_name,split,dim,n_graphs,n_clusters,cluster_alg,nmi,ari,acc,silhouette
MUTAG,GIN,gin_dim256_ep500_lr0.001_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,1283,188,2,kmeans,0.277369,0.101444,0.670213,0.552816
MUTAG,GIN,gin_dim256_ep500_lr0.001_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,1283,188,2,spectral,0.087248,-0.057826,0.569149,0.052917
MUTAG,GIN,gin_dim256_ep500_lr0.001_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,1283,188,2,kmeans,0.277369,0.101444,0.670213,0.631926
MUTAG,GIN,gin_dim256_ep500_lr0.001_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,1283,188,2,spectral,0.10728,-0.060745,0.542553,0.460403
MUTAG,GIN,gin_dim64_ep200_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,kmeans,0.237439,0.225155,0.739362,0.404961
MUTAG,GIN,gin_dim64_ep200_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,spectral,0.114037,-0.002428,0.574468,0.39673
MUTAG,GIN,gin_dim64_ep200_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,kmeans,0.259421,0.19366,0.723404,0.480086
MUTAG,GIN,gin_dim64_ep200_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,spectral,0.186766,-0.019781,0.56383,0.416698
MUTAG,GIN,gin_dim64_ep200_lr0.001_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,kmeans,0.205965,0.105041,0.670213,0.509963
MUTAG,GIN,gin_dim64_ep200_lr0.001_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,spectral,0.205965,0.105041,0.670213,0.509963
MUTAG,GIN,gin_dim64_ep200_lr0.001_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,kmeans,0.287617,0.117893,0.680851,0.550176
MUTAG,GIN,gin_dim64_ep200_lr0.001_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,spectral,0.267387,0.085782,0.659574,0.552183
MUTAG,GIN,gin_dim64_ep500_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,kmeans,0.198789,0.139646,0.691489,0.429468
MUTAG,GIN,gin_dim64_ep500_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,spectral,0.109918,0.10411,0.664894,0.377702
MUTAG,GIN,gin_dim64_ep500_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,kmeans,0.243573,0.235607,0.744681,0.444536
MUTAG,GIN,gin_dim64_ep500_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,spectral,0.171029,0.000385,0.585106,0.394103
MUTAG,GIN,gin_dim64_ep500_lr0.001_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,kmeans,0.282458,0.10957,0.675532,0.423833
MUTAG,GIN,gin_dim64_ep500_lr0.001_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,spectral,0.186766,-0.019781,0.56383,0.371131
MUTAG,GIN,gin_dim64_ep500_lr0.001_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,kmeans,0.239481,0.094858,0.664894,0.488336
MUTAG,GIN,gin_dim64_ep500_lr0.001_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,spectral,0.267387,0.085782,0.659574,0.48195
ENZYMES,GIN,gin_dim128_ep300_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,kmeans,0.057142,0.01284,0.226667,0.218018
