Dataset,Classifier,Embedding_Dim,Run,Random_Seed,N_Samples,N_Classes,Accuracy,F1_Score,AUC,Train_Time_sec,Prediction_Time_sec,Generation_Time_sec,Memory_MB,Train_Samples,Test_Samples
ENZYMES,SVM,64,5,999,600,6,0.2,0.1843,0.5481,0.069,0.006,0.0,0.0,480,120
ENZYMES,MLP,64,5,999,600,6,0.2,0.1914,0.5456,0.031,0.0,0.0,0.0,480,120
ENZYMES,SVM,128,1,42,600,6,0.225,0.2123,0.5551,0.089,0.008,0.0,0.0,480,120
ENZYMES,MLP,128,1,42,600,6,0.1667,0.1566,0.5359,0.078,0.0,0.0,0.0,480,120
ENZYMES,SVM,128,2,123,600,6,0.25,0.2124,0.6018,0.093,0.008,0.0,0.0,480,120
ENZYMES,MLP,128,2,123,600,6,0.2,0.1766,0.5308,0.056,0.001,0.0,0.92,480,120
ENZYMES,SVM,128,3,456,600,6,0.1917,0.1868,0.5377,0.097,0.007,0.0,0.0,480,120
ENZYMES,MLP,128,3,456,600,6,0.1167,0.0994,0.4678,0.203,0.003,0.0,0.0,480,120
ENZYMES,SVM,128,4,789,600,6,0.175,0.1568,0.523,0.099,0.01,0.0,0.0,480,120
ENZYMES,MLP,128,4,789,600,6,0.1667,0.168,0.5125,0.049,0.0,0.0,0.01,480,120
ENZYMES,SVM,128,5,999,600,6,0.1583,0.1476,0.5474,0.091,0.009,0.0,0.0,480,120
ENZYMES,MLP,128,5,999,600,6,0.2583,0.2564,0.5478,0.099,0.0,0.0,0.01,480,120
IMDB-MULTI,SVM,32,1,42,1500,3,0.3867,0.3773,0.5753,0.261,0.029,0.0,0.0,1200,300
IMDB-MULTI,MLP,32,1,42,1500,3,0.3633,0.362,0.5451,0.052,0.0,0.0,0.0,1200,300
IMDB-MULTI,SVM,32,2,123,1500,3,0.45,0.4386,0.6156,0.243,0.032,0.0,0.0,1200,300
IMDB-MULTI,MLP,32,2,123,1500,3,0.3967,0.3847,0.5847,0.044,0.0,0.0,0.0,1200,300
IMDB-MULTI,SVM,32,3,456,1500,3,0.4767,0.4728,0.6388,0.251,0.029,0.0,1.07,1200,300
IMDB-MULTI,MLP,32,3,456,1500,3,0.3633,0.355,0.5625,0.051,0.0,0.0,0.0,1200,300
IMDB-MULTI,SVM,32,4,789,1500,3,0.4,0.3966,0.5742,0.24,0.029,0.0,0.0,1200,300
IMDB-MULTI,MLP,32,4,789,1500,3,0.3533,0.3438,0.5478,0.043,0.0,0.0,0.0,1200,300
IMDB-MULTI,SVM,32,5,999,1500,3,0.4133,0.4087,0.6038,0.245,0.028,0.0,0.0,1200,300
IMDB-MULTI,MLP,32,5,999,1500,3,0.39,0.3739,0.5424,0.037,0.0,0.0,0.0,1200,300
IMDB-MULTI,SVM,64,1,42,1500,3,0.4067,0.402,0.5661,0.303,0.034,0.0,0.34,1200,300
