dataset,dim,epochs,lr,dropout,it_time_s,embed_time_s,total_time_s,train_acc,val_acc,test_acc,train_f1_macro,val_f1_macro,test_f1_macro,train_auc_macro,val_auc_macro,test_auc_macro,peak_tracemalloc_mb,rss_before_mb,rss_after_mb
ENZYMES,64,300,0.001,0.0,28.99570608139038,0.09751367568969727,29.093219757080078,0.6471816283924844,0.5737704918032787,0.43333333333333335,0.6441928510507543,0.5723799191291451,0.4277380952380952,0.9198587053075727,0.8005882352941177,0.7026666666666667,1.3606510162353516,661.54296875,1302.29296875
ENZYMES,64,300,0.001,0.4,41.690820932388306,0.09585213661193848,41.786673069000244,0.4718162839248434,0.5409836065573771,0.36666666666666664,0.43616059675910884,0.5164260288402165,0.35771010598596814,0.8328659861679516,0.7591027926322044,0.6836666666666665,1.1418933868408203,1302.66796875,1314.41796875
ENZYMES,64,300,0.0005,0.0,23.719993114471436,0.09599971771240234,23.815992832183838,0.55741127348643,0.5081967213114754,0.31666666666666665,0.5607552378623404,0.5031372549019608,0.30591081165070483,0.8564096951238857,0.7538562091503268,0.6593333333333333,1.1096477508544922,1314.41796875,1315.16796875
ENZYMES,64,300,0.0005,0.4,20.752639055252075,0.0952157974243164,20.84785485267639,0.36116910229645094,0.4262295081967213,0.3333333333333333,0.3240440677876144,0.3695998445998446,0.33371917937135326,0.7119616618021848,0.7005407011289364,0.6753333333333335,1.1035490036010742,1315.16796875,1315.16796875
ENZYMES,64,800,0.001,0.0,41.517659425735474,0.097625732421875,41.61528515815735,0.7578288100208769,0.5409836065573771,0.43333333333333335,0.7559819808844477,0.5399562425878215,0.4222136222910217,0.9374305357275045,0.7817884729649435,0.7200000000000001,1.1064462661743164,1315.16796875,1315.66796875
ENZYMES,64,800,0.001,0.4,12.832284688949585,0.09562540054321289,12.927910089492798,0.2630480167014614,0.32786885245901637,0.25,0.2553219033946439,0.2922222222222222,0.24552163924303513,0.6379653577509175,0.6348960190136661,0.5766666666666667,1.122757911682129,1315.66796875,1316.29296875
ENZYMES,64,800,0.0005,0.0,18.599397659301758,0.0957338809967041,18.695131540298462,0.48851774530271397,0.4426229508196721,0.38333333333333336,0.47839192121280444,0.4251722371478283,0.3463839158851947,0.8094605448219706,0.6899554367201426,0.6853333333333333,1.1210918426513672,1316.29296875,1316.29296875
ENZYMES,64,800,0.0005,0.4,34.31618285179138,0.09398078918457031,34.41016364097595,0.4279749478079332,0.4918032786885246,0.31666666666666665,0.41275829677157233,0.4646796595499875,0.32288471762155974,0.7952132572993666,0.7119786096256685,0.6643333333333333,1.105595588684082,1316.29296875,1316.41796875
ENZYMES,128,300,0.001,0.0,28.748037815093994,0.09888768196105957,28.846925497055054,0.6075156576200418,0.5081967213114754,0.4,0.6019670583539575,0.4783034509350299,0.39228327228327226,0.880122828167465,0.7610219845513964,0.7083333333333334,2.0116653442382812,1316.41796875,1335.66796875
ENZYMES,128,300,0.001,0.4,16.50985598564148,0.0960550308227539,16.605911016464233,0.34029227557411273,0.4262295081967213,0.23333333333333334,0.2778574131145997,0.353247248556173,0.16970310391363022,0.7199170328246778,0.6611734997029115,0.608,1.980997085571289,1335.66796875,1337.16796875
