dataset,dim,epochs,lr,val_acc,test_acc,f1_macro,auc_macro,total_time_s,fit_time_s,embed_time_s,rss_before_mb,rss_after_mb,peak_tracemalloc_mb
ENZYMES,256,300,0.001,0.6229508196721312,0.6166666666666667,0.6147474747474747,0.8086666666666668,60.14247417449951,60.04177212715149,0.1007020473480224,1371.52734375,1374.27734375,3.771430015563965
IMDB-MULTI,256,200,0.0005,0.5133333333333333,0.5066666666666667,0.4724845153014477,0.6731000000000001,58.87863349914551,58.56529355049133,0.3133399486541748,1381.6484375,1381.6484375,4.648209571838379
MUTAG,64,500,0.001,0.7894736842105263,0.8947368421052632,0.8782051282051282,0.8974358974358975,5.683185815811157,5.638439655303955,0.0447461605072021,1326.65625,1326.78125,0.5490245819091797
