dataset,dim,epochs,lr,dropout,fit_time_s,embed_time_s,total_time_s,train_acc,val_acc,test_acc,train_f1_macro,val_f1_macro,test_f1_macro,train_auc_macro,val_auc_macro,test_auc_macro,peak_tracemalloc_mb,rss_before_mb,rss_after_mb,n_graphs,fit_embed_ratio,embed_percentage
ENZYMES,256,300,0.001,0.4,60.04177212715149,0.1007020473480224,60.14247417449951,0.9123173277661796,0.6229508196721312,0.6166666666666667,0.9125376537792192,0.5991353062964316,0.6147474747474747,0.9921874306018212,0.8056268568033272,0.8086666666666668,3.771430015563965,1371.52734375,1374.27734375,,596.2318910920394,0.16743914966956946
IMDB-MULTI,64,200,0.001,0.0,115.4752368927002,0.3077185153961181,115.78295540809631,0.6083333333333333,0.5466666666666666,0.48,0.6045253645445687,0.542814872620267,0.458380315033656,0.7921963541666667,0.7087333333333334,0.6696666666666667,1.5765399932861328,667.51171875,1324.01171875,,375.262556898963,0.26577186107533096
MUTAG,256,200,0.001,0.0,7.902751922607422,0.043872594833374,7.946624517440796,0.8266666666666667,0.9473684210526316,0.7894736842105263,0.8103481812876873,0.9415384615384615,0.7564102564102564,0.8530402059813824,0.9487179487179488,0.7692307692307693,1.215375900268555,1345.15625,1352.28125,,180.1295763932289,0.5520909505298124
