Method,Dataset,Dim,Model,Accuracy,F1,AUC,TrainTime
NetLSD,MUTAG,dim64,SVM,0.8421052631578947,0.8385627530364372,0.8953846153846154,0.004775285720825195
NetLSD,MUTAG,dim64,MLP,0.8157894736842105,0.8173210804789752,0.9046153846153846,0.945629358291626
NetLSD,MUTAG,dim128,SVM,0.8421052631578947,0.8385627530364372,0.8953846153846154,0.015598773956298828
NetLSD,MUTAG,dim128,MLP,0.8157894736842105,0.8173210804789752,0.9015384615384616,0.8348808288574219
NetLSD,MUTAG,dim256,SVM,0.6578947368421053,0.5221386800334169,0.8769230769230769,0.01838541030883789
NetLSD,MUTAG,dim256,MLP,0.8157894736842105,0.8089892491688615,0.8707692307692307,0.9803817272186279
NetLSD,ENZYMES,dim64,SVM,0.23333333333333334,0.2022628363697036,0.5936666666666667,0.11163568496704102
NetLSD,ENZYMES,dim64,MLP,0.35,0.32002923338714606,0.6859999999999999,0.4746589660644531
NetLSD,ENZYMES,dim128,SVM,0.23333333333333334,0.2022628363697036,0.5913333333333334,0.10808277130126953
NetLSD,ENZYMES,dim128,MLP,0.26666666666666666,0.22649835972043927,0.67175,0.2628507614135742
NetLSD,ENZYMES,dim256,SVM,0.21666666666666667,0.18209348123141225,0.5766666666666667,0.15483736991882324
NetLSD,ENZYMES,dim256,MLP,0.125,0.05714782004516241,0.4595,0.34053564071655273
NetLSD,IMDB-MULTI,dim64,SVM,0.42333333333333334,0.410227696225751,0.5987666666666667,0.33820605278015137
NetLSD,IMDB-MULTI,dim64,MLP,0.43333333333333335,0.4121421563474544,0.5871666666666667,2.6976354122161865
NetLSD,IMDB-MULTI,dim128,SVM,0.42333333333333334,0.410227696225751,0.5967333333333333,0.41347765922546387
NetLSD,IMDB-MULTI,dim128,MLP,0.43,0.4118147339386277,0.5838833333333332,4.947159290313721
NetLSD,IMDB-MULTI,dim256,SVM,0.45666666666666667,0.40837381159961805,0.41831666666666667,0.7288496494293213
NetLSD,IMDB-MULTI,dim256,MLP,0.42,0.34822134387351783,0.5868666666666668,1.855966567993164
